Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
ACC,2026,women,acc_2026,200 IM,1:51.27,1:56.28,1:58.59,0.488,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,400 IM,3:59.11,4:05.10,4:13.01,0.9267,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,50 Free,21.09,21.99,22.05,0.064,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,500 Free,4:33.78,4:39.91,4:46.17,0.826,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Back,46.00,48.99,51.41,0.3607,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Breast,51.51,54.07,56.31,0.32,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Fly,46.27,48.01,49.73,0.2307,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Free,42.59,44.76,45.78,0.2127,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,1650 Free,15:25.13,15:47.54,16:02.06,2.462,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Back,1:43.15,1:48.41,1:56.08,0.862,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Breast,1:56.02,2:00.45,2:03.02,0.4667,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Fly,1:45.97,1:48.69,1:52.09,0.408,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Free,1:32.42,1:38.01,1:40.77,0.5567,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 IM,1:45.65,1:49.05,1:51.59,0.396,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,400 IM,3:48.22,3:56.62,4:01.98,0.9173,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,50 Free,19.43,19.82,20.48,0.07,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,500 Free,4:22.74,4:32.02,4:34.40,0.7773,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Back,53.04,56.10,57.48,0.296,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Breast,1:00.90,1:04.08,1:05.47,0.3047,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Fly,51.92,55.25,57.46,0.3693,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Free,49.41,50.71,51.55,0.1427,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,1650 Free,16:30.48,17:29.10,17:57.37,5.7927,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Back,1:56.82,2:00.90,2:05.89,0.6047,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Breast,2:11.40,2:20.55,2:23.72,0.8213,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Fly,1:55.65,2:00.18,2:06.98,0.7553,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Free,1:48.41,1:50.56,1:53.45,0.336,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 IM,1:59.84,2:03.53,2:07.20,0.4907,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,400 IM,4:15.97,4:26.35,4:40.80,1.6553,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,50 Free,22.50,23.45,24.02,0.1013,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,500 Free,4:46.80,5:02.07,5:07.48,1.3787,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Back,48.03,49.53,52.30,0.2847,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Breast,53.99,56.22,59.83,0.3893,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Fly,46.64,48.55,49.78,0.2093,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Free,43.58,44.81,45.98,0.16,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,1650 Free,15:29.98,16:04.80,16:36.76,4.452,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Back,1:45.66,1:53.42,1:57.05,0.7593,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Breast,1:56.32,2:04.77,2:06.62,0.6867,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Fly,1:46.53,1:53.05,1:56.98,0.6967,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Free,1:36.79,1:39.24,1:43.26,0.4313,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 IM,1:47.46,1:50.39,1:57.42,0.664,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,400 IM,3:55.07,4:03.42,4:07.35,0.8187,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,50 Free,19.94,20.65,21.31,0.0913,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,500 Free,4:25.84,4:38.15,4:39.51,0.9113,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Back,54.86,56.80,59.79,0.3287,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Breast,1:01.58,1:04.90,1:07.37,0.386,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Fly,53.10,57.50,58.02,0.328,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Free,49.20,51.56,53.69,0.2993,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,1650 Free,16:28.27,17:16.90,17:42.85,4.972,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Back,1:58.94,2:02.29,2:07.31,0.558,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Breast,2:15.57,2:22.96,2:29.63,0.9373,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Fly,1:59.21,2:06.75,2:12.74,0.902,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Free,1:47.80,1:53.65,1:54.64,0.456,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 IM,2:02.02,2:08.10,2:08.83,0.454,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,400 IM,4:25.04,4:29.71,4:35.85,0.7207,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,50 Free,22.25,23.63,23.83,0.1053,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,500 Free,4:45.90,5:01.25,5:11.03,1.6753,america east 2026_meet_results.pdf,prelim_fallback,,,
Atlantic 10,2026,men,atlantic10_2026,100 Back,46.24,48.95,50.05,0.254,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,100 Breast,53.08,55.12,55.90,0.188,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,1650 Free,15:09.61,15:41.24,16:18.82,4.614,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Back,1:43.53,1:46.39,1:50.67,0.476,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Breast,1:57.02,2:01.43,2:03.60,0.4387,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Fly,1:41.72,1:49.77,1:51.35,0.642,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Free,1:33.46,1:39.53,1:40.02,0.4373,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 IM,1:44.78,1:49.91,1:51.04,0.4173,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,400 IM,3:47.60,3:59.55,4:08.04,1.3627,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,50 Free,19.18,20.46,20.60,0.0947,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,500 Free,4:19.28,4:28.10,4:39.77,1.366,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Back,53.92,55.85,56.90,0.1987,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Breast,1:01.29,1:03.17,1:03.78,0.166,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Fly,53.38,54.60,56.27,0.1927,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Free,49.84,50.79,51.21,0.0913,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,1650 Free,16:23.28,17:09.26,17:31.43,4.5433,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Back,1:55.15,2:03.40,2:04.31,0.6107,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Breast,2:12.91,2:17.02,2:19.45,0.436,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Fly,1:58.19,2:03.93,2:08.03,0.656,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Free,1:48.75,1:51.23,1:53.29,0.3027,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 IM,1:58.75,2:03.72,2:06.35,0.5067,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,400 IM,4:15.21,4:28.19,4:35.32,1.3407,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,50 Free,22.64,23.12,23.68,0.0693,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,500 Free,4:45.77,5:00.32,5:03.88,1.2073,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Back,44.79,46.69,47.46,0.178,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Breast,51.32,53.09,54.15,0.1887,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Fly,43.77,46.83,47.35,0.2387,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Free,40.67,42.86,44.18,0.234,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,1650 Free,14:52.65,15:14.32,15:26.05,2.2267,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Back,1:38.33,1:44.38,1:44.43,0.4067,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Breast,1:51.92,1:56.79,1:59.26,0.4893,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Fly,1:37.70,1:45.56,1:49.18,0.7653,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Free,1:32.68,1:34.51,1:36.11,0.2287,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 IM,1:43.80,1:47.42,1:47.63,0.2553,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,400 IM,3:44.46,3:53.00,3:57.86,0.8933,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,50 Free,18.46,19.25,21.01,0.17,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,500 Free,4:13.48,4:21.57,4:27.81,0.9553,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Back,52.31,54.06,54.86,0.17,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Breast,58.02,1:00.44,1:01.59,0.238,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Fly,51.97,53.78,55.13,0.2107,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Free,47.42,49.96,50.48,0.204,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,1650 Free,16:06.04,16:41.32,16:52.54,3.1,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Back,1:52.44,1:56.97,1:59.77,0.4887,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Breast,2:08.11,2:10.72,2:14.64,0.4353,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Fly,1:56.31,2:01.13,2:02.79,0.432,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Free,1:44.58,1:47.89,1:48.81,0.282,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 IM,1:57.16,2:03.74,2:03.74,0.4387,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,400 IM,4:09.22,4:22.50,4:23.38,0.944,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,50 Free,21.80,22.77,22.97,0.078,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,500 Free,4:41.34,4:49.50,4:54.15,0.854,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big East,2026,men,bigeast_2026,100 Back,48.45,49.82,51.20,0.1833,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Breast,53.95,56.07,59.05,0.34,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Fly,46.44,48.28,50.30,0.2573,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Free,42.61,44.86,46.86,0.038,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,1650 Free,15:28.25,15:52.98,16:24.96,3.7807,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Back,1:45.00,1:50.45,1:51.48,0.432,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Breast,1:57.83,2:04.22,2:07.04,0.614,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Fly,1:44.94,1:50.71,1:53.41,0.5647,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Free,1:36.23,1:39.24,1:42.86,0.442,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 IM,1:45.82,1:49.60,1:50.50,0.312,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,400 IM,3:47.65,4:01.43,4:08.83,1.412,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,50 Free,19.21,20.76,21.23,0.1347,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,500 Free,4:26.25,4:32.56,4:38.04,0.786,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Back,54.16,55.71,57.42,0.2173,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Breast,1:01.47,1:03.75,1:06.04,0.3047,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Fly,53.45,55.96,58.21,0.3173,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Free,50.02,51.30,52.74,0.1813,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,1650 Free,16:29.88,17:04.58,17:20.41,3.3687,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Back,1:56.75,2:02.13,2:08.83,0.8053,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Breast,2:12.94,2:18.43,2:24.79,0.79,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Fly,1:58.45,2:04.52,2:08.11,0.644,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Free,1:48.89,1:50.90,1:53.08,0.2793,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 IM,1:59.54,2:03.47,2:06.51,0.4647,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,400 IM,4:15.51,4:30.61,4:37.12,1.4407,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,50 Free,22.63,23.53,24.22,0.106,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,500 Free,4:50.10,5:00.42,5:08.08,1.1987,big east 2026_full_results.pdf,prelim_fallback,,,
Big Ten,2026,men,bigten_2026,100 Back,44.52,45.54,47.06,0.1693,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,100 Breast,50.69,52.13,53.12,0.162,mens 2026_Big 10 _Thursday_Results.pdf,pdf_repaired,pdf_verified,pdf_verified,pdf_verified
Big Ten,2026,men,bigten_2026,100 Fly,43.83,45.04,46.75,0.1947,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,men,bigten_2026,100 Free,41.81,42.74,43.46,0.11,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,1650 Free,14:25.40,14:58.72,15:19.19,3.586,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Back,1:39.19,1:41.96,1:42.80,0.2407,mens 2026 Big 10 saturday_results_-_all__1_.pdf,pdf_repaired,pdf_verified,pdf_verified,pdf_verified
Big Ten,2026,men,bigten_2026,200 Breast,1:49.34,1:54.11,1:55.29,0.3967,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Fly,1:38.82,1:42.67,1:44.80,0.3987,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Free,1:31.32,1:33.66,1:34.42,0.2067,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 IM,1:40.11,1:42.90,1:47.09,0.4653,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,400 IM,3:34.90,3:38.70,3:44.40,0.6333,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,men,bigten_2026,50 Free,18.98,19.27,19.82,0.056,Mens_2026 Big 10_Friday results_-_all__1_.pdf,pdf_repaired,pdf_verified,pdf_verified,pdf_verified
Big Ten,2026,men,bigten_2026,500 Free,4:09.14,4:18.79,4:26.76,1.1747,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,women,bigten_2026,100 Back,49.72,51.75,53.86,0.276,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Breast,57.90,1:00.26,1:01.14,0.216,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Fly,49.95,52.15,53.80,0.2567,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Free,46.22,48.28,49.22,0.2,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,1650 Free,15:45.36,16:12.46,16:41.52,3.744,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Back,1:48.31,1:55.18,1:57.89,0.6387,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Breast,2:05.24,2:11.00,2:14.24,0.6,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Fly,1:50.34,1:59.27,1:59.71,0.6247,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Free,1:40.84,1:46.16,1:47.37,0.4353,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 IM,1:52.81,1:57.94,1:59.83,0.468,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,400 IM,4:00.57,4:10.02,4:17.91,1.156,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,50 Free,21.09,22.15,22.52,0.0953,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,500 Free,4:34.60,4:43.05,4:48.21,0.9073,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big West,2026,men,bigwest_2026,100 Back,46.16,48.21,49.36,0.2133,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Breast,52.69,54.87,55.30,0.174,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Fly,45.91,47.66,48.69,0.1853,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Free,42.41,44.55,44.88,0.1647,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,1650 Free,15:17.54,15:45.13,16:46.49,5.93,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Back,1:43.19,1:46.59,1:51.68,0.566,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Breast,1:54.56,2:01.07,2:02.13,0.5047,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Fly,1:42.37,1:49.37,1:51.33,0.5973,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Free,1:34.77,1:38.09,1:40.44,0.378,2026_big_west_friday_final_results_men.pdf,finals,,,
